Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Arnak Amatuni,Առնակ Ամատունի [Aṙnak Amatuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205, 270, 271.","The nakharar from the Amatuni family, was captured by order of the Sassanid king Yazdegerd."
Atgen Vanandatsi,Ատգէն Վանանդացի [Atgēn Vanandacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 372, 373.","A sepuh, died during the uprising of Vahan Mamikonyan."
Atom Gnuni,Ատոմ Գնունի [Atom Gnuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101, 204, 205, 296, 297, 300-305, 314, 315, 324, 325.","The nakharar from the Gnuni family, a participant of the Council of Artashat (449), was captured by order of the Sassanid king Yazdegerd. Brother of Arastoma Gnuni. He died with his brother during the uprising of Vahan Mamikonyan."
"Atrnerseh, son of Vasak",Ատրներսեհ [Atrnerseh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 128, 129.","The son of Vasak, the prince of Syunik."
"Atrnerseh, pushtipanan salar","Ատրներսեհ, փուշտիպանան սաղար [Atrnerseh, pʿuštipanan sałar]",Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 310, 311.","The Persian commander, pushtipanan salar (the head of the bodyguards)."
Atrormizd Arshakan,Ատրորմիզդ Արշական [Atrormizd Aršakan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 172, 173, 176, 177.",The marzpan of Armenia.
Atrvshnasp-i-Tapyan,Ատրվշնասպ-ի-Տապեան [Atrvšnasp-i-Tapean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 310, 311, 316, 317.","The Persian commander, killed by the owner of Shirak Nerses Kamsarakan."
Atrvshnasp Yozmandyan,Ատրվշնասպ Յոզմանդեան [Atrvšnasp Yozmandean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 286, 287, 292, 293, 296-303.",The marzpan of Armenia.
Arius,Արիոս Աղեքսանդրացի [Arios Ałekʿsandracʿi],Laz.Parp_Letter to Vahan Mam.,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 462, 463.","The priest in Alexandria, the founder of Arianism."
Ardzan,Արձան [Arjan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 164, 165.",The pupil of Mesrop Mashtots.
Arshak II,Արշակ [Aršak],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 6, 7, 58, 59, 489.","The king of the Great Armenia from the Arshakuni dynasty, the son of the king Tiran."
Arshak III,Արշակ [Aršak],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 6, 7, 18-21, 26, 27, 489.","The king of the Great Armenia from the Arshakuni dynasty, the son of the king Pap."
Arshavir Artsruni,Արշաւիր Արծրունի [Aršawir Arcruni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 392, 393.","The son of Sahak Artsruni, one of the members of the delegation sent by Vahan Mamikonyan to the Persian commander Nikhor."
Arshavir Kamsarakan of Arsharunik,Արշաւիր Արշարունի Կամսարական [Aršawir Aršaruni Kamsarakan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101, 134, 135, 148, 149, 152-155, 168, 169, 176, 177, 194, 195, 198, 199, 204, 205, 244, 245, 252, 253, 260, 261, 268, 269, 294, 295, 302, 303, 324, 325, 328, 329.","The prince of the Arsharunik region (also known as Eraskhadzor) in the province of Ayrarat, a participant of the Council of Artashat (449)."
Arshe,Արշէ [Aršē],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 178, 179, 186, 187, 238, 239, 242, 243.",The priest from the the Bagrevand region.
Arsen Antsayatsi,Արսէն Ընծայացի [Arsēn Əncayacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 170, 171.","A participant of the uprising of Vardan Mamikonyan, died with Vardan."
Artak of Mokk',Արտակ Մոկացի [Artak Mokacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101, 108, 109, 118-121, 168, 169.","The owner of the Mokk', a participant of the Council of Artashat (449)."
Artak Paluni,Արտակ Պալունի [Artak Paluni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 148, 149, 170, 171.","A sepuh, a participant in the uprising of Vardan Mamikonyan, died with Vardan."
Artak Rshtuni,Արտակ Ռշտունի [Artak Ṙštuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 108, 109.",One of the Armenian princes arrived in the possession of the Sassanid king by order Yazdegerd.
Artashes IV,Արտաշէս [Artašēs],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 44, 45, 52-59.","The king of the Great Armenia from the Arshakuni dynasty, the son of Vramshapuh."
Artashes Mamikonyan,Արտաշես Մամիկոնեան [Artašes Mamikonean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 266, 267.","The son of Hmayak Mamikonyan and Dzvik Artsruni, who was upbringing in the dominion of the Georgian bdeshkh Ashusha."
Ardashir I,Արտաշիր Ստահրացի [Artašir Stahracʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 6-9.",The founder of the Sassanid dynasty.
Artavazd Mamikonyan,Արտավազդ Մամիկոնեան [Artavazd Mamikonean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The prince from the Mamikonyan family, was captured by order of the Sassanid king Yazdegerd."
Arten Abeghyan,Արտէն Աբեղեան [Artēn Abełean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 156, 157.","The prince from the Abeghyan family, who took the side of the Sassanids along with Vasak, the prince of Syunik."
Arten Gabeghyan,Արտեն Գաբեղեան [Arten Gabełean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 172, 173.",The prince appointed the commander by Atrormizd.
Artabanus IV(V) of Parthia,Արտևան [Artewan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 6, 7.",The last Parthian king (213-224) from the Arsaсid dynasty.
Babgen (Babken) Syuni,Բաբգէն (Բաբկէն) Սիւնի [Babgēn (Babkēn) Siwni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205, 294, 295, 300-305, 314, 315, 324, 325, 328, 329.","The prince from the Syuni family, was captured by order of the Sassanid king Yazdegerd. The owner of Syunik, a participant of the uprising of Vahan Mamikonyan."
Babelos,Բաբելոս [Babelos],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 34, 35.",The bishop.
Babik Ropsyan,Բաբիկ Ռոփսեան [Babik Ṙopʿsean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The prince from the Ropsyan family, was captured by order of the Sassanid king Yazdegerd."
Babik Syuni,Բաբիկ Սիւնի [Babik Siwni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 270, 271.",A man from the Syuni family.
